dataset,model_name,topk,method,score
qasper,DeepSeek-V2-Lite-Chat,1,baseline,22.02
multifieldqa_en,DeepSeek-V2-Lite-Chat,1,baseline,36.25
qasper,DeepSeek-V2-Lite-Chat,2,baseline,30.21
multifieldqa_en,DeepSeek-V2-Lite-Chat,2,baseline,43.57
qasper,DeepSeek-V2-Lite-Chat,4,baseline,32.83
multifieldqa_en,DeepSeek-V2-Lite-Chat,4,baseline,47.22
qasper,DeepSeek-V2-Lite-Chat,6,baseline,33.58
multifieldqa_en,DeepSeek-V2-Lite-Chat,6,baseline,47.47
qasper,DeepSeek-V2-Lite-Chat,8,baseline,31.66
multifieldqa_en,DeepSeek-V2-Lite-Chat,8,baseline,46.12
qasper,DeepSeek-V2-Lite-Chat,16,baseline,26.62
qasper,DeepSeek-V2-Lite-Chat,32,baseline,19.92
multifieldqa_en,DeepSeek-V2-Lite-Chat,16,baseline,46.74
qasper,DeepSeek-V2-Lite-Chat,64,baseline,19.81
multifieldqa_en,DeepSeek-V2-Lite-Chat,32,baseline,48.14
hotpotqa,DeepSeek-V2-Lite-Chat,1,baseline,19.16
multifieldqa_en,DeepSeek-V2-Lite-Chat,64,baseline,54.67
hotpotqa,DeepSeek-V2-Lite-Chat,2,baseline,21.36
triviaqa,DeepSeek-V2-Lite-Chat,1,baseline,70.0
triviaqa,DeepSeek-V2-Lite-Chat,2,baseline,79.69
hotpotqa,DeepSeek-V2-Lite-Chat,4,baseline,26.57
triviaqa,DeepSeek-V2-Lite-Chat,4,baseline,81.45
triviaqa,DeepSeek-V2-Lite-Chat,6,baseline,80.28
hotpotqa,DeepSeek-V2-Lite-Chat,6,baseline,27.23
triviaqa,DeepSeek-V2-Lite-Chat,8,baseline,79.91
hotpotqa,DeepSeek-V2-Lite-Chat,8,baseline,27.47
triviaqa,DeepSeek-V2-Lite-Chat,16,baseline,79.5
triviaqa,DeepSeek-V2-Lite-Chat,32,baseline,79.83
hotpotqa,DeepSeek-V2-Lite-Chat,16,baseline,27.01
triviaqa,DeepSeek-V2-Lite-Chat,64,baseline,80.88
hotpotqa,DeepSeek-V2-Lite-Chat,32,baseline,28.12
hotpotqa,DeepSeek-V2-Lite-Chat,64,baseline,31.97
gov_report,DeepSeek-V2-Lite-Chat,1,baseline,30.32
gov_report,DeepSeek-V2-Lite-Chat,2,baseline,31.92
gov_report,DeepSeek-V2-Lite-Chat,4,baseline,33.58
gov_report,DeepSeek-V2-Lite-Chat,6,baseline,33.2
gov_report,DeepSeek-V2-Lite-Chat,8,baseline,32.83
