Hardware,Num of GPU,TP Size,EP Size,Framework,Model,topk,Input Length,Output Length,Batch Size,latency,throughput
Nvidia H100 GPU,4,4,1,SGLang,Qwen1.5-MoE-A2.7B-Chat,2,1024,1024,16,4.179803848266602,7839.602332915491
Nvidia H100 GPU,4,4,1,SGLang,Qwen1.5-MoE-A2.7B-Chat,4,1024,1024,16,4.2942399978637695,7630.686691079424
Nvidia H100 GPU,4,4,1,SGLang,Qwen1.5-MoE-A2.7B-Chat,8,1024,1024,16,4.803504943847656,6821.68549487377
Nvidia H100 GPU,4,4,1,SGLang,Qwen1.5-MoE-A2.7B-Chat,16,1024,1024,16,5.09761643409729,6428.102314803274
Nvidia H100 GPU,4,4,1,SGLang,Qwen1.5-MoE-A2.7B-Chat,32,1024,1024,16,6.256253480911255,5237.639443475231
Nvidia H100 GPU,4,4,1,SGLang,Qwen1.5-MoE-A2.7B-Chat,60,1024,1024,16,8.691367864608765,3770.1775497768585
Nvidia H100 GPU,4,4,4,SGLang,Qwen1.5-MoE-A2.7B-Chat,2,1024,1024,16,4.180623292922974,7838.0656911782025
Nvidia H100 GPU,4,4,4,SGLang,Qwen1.5-MoE-A2.7B-Chat,4,1024,1024,16,4.306842565536499,7608.357979511638
Nvidia H100 GPU,4,4,4,SGLang,Qwen1.5-MoE-A2.7B-Chat,8,1024,1024,16,4.785909175872803,6846.7659531010895
Nvidia H100 GPU,4,4,4,SGLang,Qwen1.5-MoE-A2.7B-Chat,16,1024,1024,16,5.115760803222656,6405.303387007052
Nvidia H100 GPU,4,4,4,SGLang,Qwen1.5-MoE-A2.7B-Chat,32,1024,1024,16,6.266207456588745,5229.319365343602
Nvidia H100 GPU,4,4,4,SGLang,Qwen1.5-MoE-A2.7B-Chat,60,1024,1024,16,8.69672441482544,3767.8553943988254
Nvidia H100 GPU,4,4,1,SGLang,DeepSeek-V2-Lite-Chat,2,1024,1024,16,6.477770090103149,5058.530874700775
Nvidia H100 GPU,4,4,1,SGLang,DeepSeek-V2-Lite-Chat,4,1024,1024,16,6.650152921676636,4927.405487652837
Nvidia H100 GPU,4,4,1,SGLang,DeepSeek-V2-Lite-Chat,6,1024,1024,16,6.761939287185669,4845.947088300182
Nvidia H100 GPU,4,4,1,SGLang,DeepSeek-V2-Lite-Chat,8,1024,1024,16,6.878169536590576,4764.058202648302
Nvidia H100 GPU,4,4,1,SGLang,DeepSeek-V2-Lite-Chat,16,1024,1024,16,7.274384498596191,4504.5735493255215
Nvidia H100 GPU,4,4,1,SGLang,DeepSeek-V2-Lite-Chat,32,1024,1024,16,8.16024374961853,4015.5663244166963
Nvidia H100 GPU,4,4,1,SGLang,DeepSeek-V2-Lite-Chat,64,1024,1024,16,10.221469640731812,3205.8012352178703
Nvidia H100 GPU,4,4,4,SGLang,DeepSeek-V2-Lite-Chat,1,1024,1024,16,7.66247296333313,4276.426182095932
Nvidia H100 GPU,4,4,4,SGLang,DeepSeek-V2-Lite-Chat,2,1024,1024,16,7.754622936248779,4225.6084234382115
Nvidia H100 GPU,4,4,4,SGLang,DeepSeek-V2-Lite-Chat,4,1024,1024,16,8.136527299880981,4027.2709464736045
Nvidia H100 GPU,4,4,4,SGLang,DeepSeek-V2-Lite-Chat,6,1024,1024,16,8.482990980148315,3862.7884995614
Nvidia H100 GPU,4,4,4,SGLang,DeepSeek-V2-Lite-Chat,8,1024,1024,16,8.756509065628052,3742.1305401971567
Nvidia H100 GPU,4,4,4,SGLang,DeepSeek-V2-Lite-Chat,16,1024,1024,16,10.06192684173584,3256.6327022058736
Nvidia H100 GPU,4,4,1,SGLang,Mixtral-8x7B-Instruct-v0.1,2,1024,1024,16,7.280054330825806,4501.0653095336165
Nvidia H100 GPU,4,4,1,SGLang,Mixtral-8x7B-Instruct-v0.1,4,1024,1024,16,9.634254932403564,3401.1971065649395
Nvidia H100 GPU,4,4,1,SGLang,Mixtral-8x7B-Instruct-v0.1,8,1024,1024,16,12.602683782577515,2600.0811069543674
Nvidia H100 GPU,4,4,4,SGLang,Mixtral-8x7B-Instruct-v0.1,8,1024,1024,16,21.401517152786255,1531.106405497703
